ID,Education,Income,Marital_Status,,,,
5524,Graduation,58138,Single,,,MAX Salary,666666
2174,Graduation,46344,Single,,,MIN Salary ,1730
4141,Graduation,71613,Together,,,,
6182,Graduation,26646,Together,,,,
5324,PhD,58293,Married,,,,
7446,Master,62513,Together,,,,
965,Graduation,55635,Divorced,,,,
6177,PhD,33454,Married,,,,
4855,PhD,30351,Together,,,,
5899,PhD,5648,Together,,,,
1994,Graduation,,Married,,,,
387,Basic,7500,Married,,,,
2125,Graduation,63033,Divorced,,,,
8180,Master,59354,Divorced,,,,
2569,Graduation,17323,Married,,,,
2114,PhD,82800,Single,,,,
9736,Graduation,41850,Married,,,,
4939,Graduation,37760,Together,,,,
6565,Master,76995,Married,,,,
2278,2n Cycle,33812,Single,,,,
9360,Graduation,37040,Married,,,,
5376,Graduation,2447,Married,,,,
1993,PhD,58607,Married,,,,
4047,PhD,65324,Married,,,,
1409,Graduation,40689,Together,,,,
7892,Graduation,18589,Single,,,,
2404,Graduation,53359,Married,,,,
5255,Graduation,,Single,,,,
9422,Graduation,38360,Married,,,,
1966,PhD,84618,Married,,,,
6864,Master,10979,Divorced,,,,
3033,Master,38620,Together,,,,
5710,Graduation,40548,Together,,,,
7373,PhD,46610,Divorced,,,,
8755,Master,68657,Married,,,,
10738,Master,49389,Single,,,,
4339,PhD,67353,Married,,,,
10755,2n Cycle,23718,Married,,,,
8595,Graduation,42429,Widow,,,,
2968,PhD,48948,Divorced,,,,
8601,Graduation,80011,Married,,,,
503,Master,20559,Married,,,,
8430,Graduation,21994,Together,,,,
7281,PhD,,Single,,,,
2139,Master,7500,Married,,,,
1371,Graduation,79941,Single,,,,
9909,2n Cycle,7500,Married,,,,
7286,Graduation,41728,Together,,,,
7244,Graduation,,Single,,,,
6566,PhD,72550,Married,,,,
8614,Graduation,65486,Widow,,,,
4114,Master,79143,Married,,,,
1331,Graduation,35790,Single,,,,
2225,Graduation,82582,Divorced,,,,
9381,Graduation,66373,Married,,,,
6260,Master,82384,Together,,,,
10383,Graduation,70287,Divorced,,,,
7437,Graduation,27938,Single,,,,
8557,Graduation,,Single,,,,
8375,PhD,55954,Married,,,,
6853,Master,75777,Single,,,,
3076,Graduation,66653,Together,,,,
1012,Graduation,61823,Single,,,,
6518,PhD,67680,Widow,,,,
4137,Graduation,70666,Together,,,,
8082,Graduation,25721,Married,,,,
1386,Graduation,32474,Together,,,,
9369,2n Cycle,88194,Single,,,,
4477,Graduation,69096,Together,,,,
1357,Graduation,74854,Together,,,,
1402,Master,66991,Married,,,,
10629,2n Cycle,,Married,,,,
6312,Graduation,65031,Married,,,,
8132,PhD,60631,Married,,,,
1050,Graduation,28332,Married,,,,
5846,Graduation,40246,Divorced,,,,
1859,Master,75251,Married,,,,
7503,Graduation,75825,Single,,,,
10401,2n Cycle,26326,Together,,,,
1618,Graduation,56046,Together,,,,
3332,Graduation,29760,Single,,,,
2261,Graduation,26304,Married,,,,
5346,2n Cycle,23559,Married,,,,
4119,Master,38620,Together,,,,
535,Graduation,81361,Divorced,,,,
5268,Graduation,29440,Married,,,,
273,Master,36138,Married,,,,
4452,Graduation,50388,Single,,,,
8504,Graduation,79593,Married,,,,
771,Graduation,54178,Together,,,,
8996,PhD,,Married,,,,
9235,Graduation,,Single,,,,
5798,Master,,Together,,,,
11178,Master,42394,Single,,,,
2230,PhD,23626,Married,,,,
7516,Graduation,30096,Married,,,,
7247,Graduation,47916,Widow,,,,
11100,Graduation,51813,Divorced,,,,
4646,2n Cycle,78497,Married,,,,
3037,PhD,50150,Married,,,,
1473,2n Cycle,47823,Single,,,,
1016,PhD,34554,Single,,,,
4518,Graduation,85693,Together,,,,
9370,PhD,65846,Married,,,,
8908,Graduation,87195,Married,,,,
8373,Basic,24594,Together,,,,
7533,Graduation,49096,Married,,,,
2683,Graduation,52413,Married,,,,
3629,Graduation,38557,Single,,,,
10991,Master,89058,Married,,,,
5077,Graduation,77298,Together,,,,
7431,PhD,68126,Single,,,,
3267,Master,57288,Together,,,,
999,Graduation,86037,Single,,,,
9215,PhD,43974,Married,,,,
2286,Graduation,50785,Single,,,,
1592,Graduation,90765,Married,,,,
367,2n Cycle,36550,Married,,,,
5234,2n Cycle,30753,Together,,,,
9862,Graduation,21918,Together,,,,
9805,Master,56129,Together,,,,
6205,Master,32557,Single,,,,
8442,Master,19510,Married,,,,
7386,Graduation,30992,Divorced,,,,
7215,Graduation,101970,Single,,,,
1491,2n Cycle,71488,Together,,,,
11071,Graduation,79607,Single,,,,
3381,Master,54348,Married,,,,
8268,PhD,,Married,,,,
11051,PhD,77376,Together,,,,
8026,Graduation,62998,Married,,,,
433,Master,61331,Alone,,,,
9597,Graduation,73448,Married,,,,
1295,Graduation,,Married,,,,
5290,PhD,41551,Married,,,,
1685,PhD,62981,Together,,,,
5342,Basic,9548,Divorced,,,,
9579,PhD,33762,Married,,,,
7660,PhD,35860,Alone,,,,
1461,PhD,36921,Divorced,,,,
821,Master,92859,Single,,,,
11084,Master,65104,Together,,,,
8690,Graduation,86111,Married,,,,
2937,PhD,68352,Single,,,,
9701,Graduation,41883,Together,,,,
9949,Graduation,59809,Married,,,,
10837,Graduation,23957,Married,,,,
3120,Graduation,38547,Together,,,,
5885,2n Cycle,35688,Married,,,,
4050,Master,49605,Married,,,,
3830,Master,59354,Married,,,,
7987,Graduation,65747,Married,,,,
7798,2n Cycle,46344,Together,,,,
92,Graduation,34176,Alone,,,,
7055,PhD,61010,Together,,,,
10240,Graduation,69372,Together,,,,
3025,Graduation,49967,Single,,,,
9283,Graduation,60199,Single,,,,
9970,Graduation,55375,Together,,,,
2730,Graduation,80317,Single,,,,
2795,Master,30523,Single,,,,
9260,PhD,70356,Married,,,,
8182,Graduation,23228,Married,,,,
10095,PhD,74165,Divorced,,,,
8475,PhD,157243,Married,,,,
4370,Graduation,43482,Together,,,,
10573,Graduation,62551,Divorced,,,,
3712,Graduation,52332,Divorced,,,,
6637,Graduation,66951,Single,,,,
3152,Graduation,26091,Together,,,,
5610,Graduation,33456,Together,,,,
6460,Graduation,28718,Married,,,,
1349,Graduation,50447,Married,,,,
1880,PhD,53537,Together,,,,
641,Graduation,52074,Single,,,,
8717,PhD,80427,Married,,,,
10314,PhD,83837,Married,,,,
10854,PhD,38853,Married,,,,
10492,Graduation,38285,Together,,,,
6935,2n Cycle,78497,Married,,,,
7698,PhD,51650,Married,,,,
3559,2n Cycle,16248,Married,,,,
10562,Master,66835,Married,,,,
10796,Master,30477,Married,,,,
2563,Basic,28249,Married,,,,
3518,Graduation,25271,Married,,,,
5823,PhD,32303,Single,,,,
3934,Graduation,61286,Married,,,,
6982,Graduation,74068,Married,,,,
6431,PhD,45759,Married,,,,
9733,Basic,24882,Together,,,,
5602,PhD,66973,Together,,,,
7829,2n Cycle,36640,Divorced,,,,
1324,Graduation,38872,Married,,,,
326,Graduation,51148,Married,,,,
7224,Graduation,31353,Married,,,,
6999,Master,69661,Married,,,,
9938,Graduation,80067,Married,,,,
6422,Graduation,86718,Married,,,,
3182,PhD,46854,Single,,,,
7300,Graduation,69142,Divorced,,,,
10424,Graduation,75922,Single,,,,
8727,Graduation,63693,Divorced,,,,
2798,PhD,102160,Together,,,,
1030,PhD,40637,Single,,,,
624,Master,18890,Single,,,,
5176,Graduation,29604,Together,,,,
5552,Master,48721,Divorced,,,,
868,Graduation,44794,Married,,,,
380,Graduation,64497,Divorced,,,,
2677,Graduation,46097,Together,,,,
6521,Graduation,77972,Together,,,,
6927,PhD,44377,Married,,,,
2877,Master,46014,Together,,,,
0,Graduation,70951,Married,,,,
1584,Graduation,41443,Married,,,,
7264,2n Cycle,52195,Single,,,,
6274,Master,83790,Married,,,,
1377,Master,44551,Widow,,,,
454,Graduation,69508,Together,,,,
1755,2n Cycle,45204,Together,,,,
2075,Graduation,72460,Married,,,,
4785,PhD,77622,Together,,,,
9076,PhD,30732,Married,,,,
7079,Graduation,63887,Divorced,,,,
4653,Graduation,42011,Together,,,,
7375,Graduation,51369,Together,,,,
709,Graduation,51537,Divorced,,,,
460,PhD,79930,Married,,,,
3726,PhD,34320,Together,,,,
6798,Graduation,37070,Single,,,,
5341,2n Cycle,81975,Divorced,,,,
1606,Graduation,38590,Together,,,,
9617,Graduation,15033,Single,,,,
3233,PhD,62745,Married,,,,
89,2n Cycle,22212,Married,,,,
2936,Master,23661,Together,,,,
9449,PhD,79761,Single,,,,
7297,Graduation,7500,Single,,,,
11004,2n Cycle,60182,Single,,,,
313,Graduation,73455,Widow,,,,
9940,Graduation,64961,Together,,,,
10735,Graduation,22804,Single,,,,
9529,Graduation,73687,Married,,,,
6439,Graduation,61074,Married,,,,
7411,PhD,31686,Married,,,,
2176,Graduation,80134,Married,,,,
9265,Graduation,75027,Married,,,,
8867,PhD,67546,Married,,,,
8932,Master,65176,Together,,,,
10236,Master,31160,Single,,,,
6340,Graduation,29938,Single,,,,
10089,Graduation,102692,Divorced,,,,
2227,2n Cycle,26490,Together,,,,
10992,Graduation,75702,Together,,,,
5304,PhD,30899,Single,,,,
309,PhD,63342,Together,,,,
3406,Graduation,45989,Single,,,,
2661,Graduation,18701,Single,,,,
3153,PhD,40737,Single,,,,
10264,Graduation,15287,Divorced,,,,
1184,PhD,69674,Divorced,,,,
4200,Master,44159,Married,,,,
9396,PhD,37717,Married,,,,
2387,Master,43776,Together,,,,
6690,Master,38179,Married,,,,
1225,Graduation,80124,Married,,,,
9703,PhD,38097,Married,,,,
291,Graduation,72940,Married,,,,
4557,Graduation,22070,Together,,,,
2379,Graduation,69267,Single,,,,
5726,Master,31788,Single,,,,
3066,PhD,61905,Together,,,,
6336,Graduation,29315,Married,,,,
10967,Graduation,33378,Divorced,,,,
2304,PhD,66313,Together,,,,
3445,Graduation,60714,Single,,,,
7828,Master,77882,Together,,,,
3762,PhD,69867,Single,,,,
4391,Master,63841,Divorced,,,,
4669,Basic,24480,Married,,,,
10144,Graduation,51369,Together,,,,
8652,Graduation,37760,Together,,,,
1672,PhD,65640,Together,,,,
8962,Master,44319,Married,,,,
9974,Graduation,30631,Married,,,,
10983,Graduation,75278,Together,,,,
8148,Master,50898,Together,,,,
10102,Graduation,79946,Widow,,,,
4697,Master,35416,Divorced,,,,
9262,2n Cycle,32414,Together,,,,
7254,Graduation,38361,Together,,,,
4543,Graduation,82497,Married,,,,
4927,Graduation,16626,Together,,,,
10451,Graduation,29672,Together,,,,
2926,Master,55951,Together,,,,
2874,2n Cycle,35388,Divorced,,,,
9738,Master,42386,Together,,,,
7119,Graduation,68627,Single,,,,
3924,PhD,57912,Divorced,,,,
5827,Graduation,35246,Divorced,,,,
5596,2n Cycle,58821,Together,,,,
10812,PhD,46377,Married,,,,
1717,Graduation,39747,Single,,,,
9491,Graduation,23976,Together,,,,
9274,Master,80950,Married,,,,
6609,Graduation,27038,Widow,,,,
6963,Graduation,77457,Single,,,,
4440,Master,64100,Married,,,,
1379,Master,42670,Together,,,,
10032,Graduation,12571,Divorced,,,,
2826,Graduation,22574,Married,,,,
2437,Graduation,,Married,,,,
6320,Master,70893,Single,,,,
3050,Graduation,54198,Married,,,,
231,Master,28839,Together,,,,
2392,Graduation,40321,Married,,,,
9478,Graduation,66503,Single,,,,
113,Graduation,30833,Married,,,,
2863,Graduation,,Single,,,,
1802,Graduation,64795,Married,,,,
520,Graduation,34421,Married,,,,
8275,PhD,47025,Divorced,,,,
9750,PhD,64325,Divorced,,,,
2607,Graduation,40464,Single,,,,
7214,Graduation,62187,Married,,,,
5835,PhD,14849,Divorced,,,,
3896,Graduation,27255,Married,,,,
10350,PhD,54432,Married,,,,
7786,PhD,29999,Single,,,,
2861,Graduation,24072,Single,,,,
663,PhD,33996,Single,,,,
10675,PhD,66334,Married,,,,
2521,Master,35178,Married,,,,
9592,Graduation,22010,Together,,,,
10151,Graduation,62204,Divorced,,,,
7381,Graduation,75693,Divorced,,,,
4099,Graduation,30675,Married,,,,
9560,Graduation,83003,Together,,,,
1150,PhD,83532,Together,,,,
10172,Graduation,68655,Single,,,,
11191,Graduation,41411,Divorced,,,,
9707,PhD,55212,Married,,,,
6245,PhD,59292,Together,,,,
8234,Basic,27190,Together,,,,
1411,Graduation,82623,Divorced,,,,
8553,Graduation,44300,Married,,,,
1826,Graduation,84835,Divorced,,,,
8842,Graduation,30372,Widow,,,,
11030,Master,33181,Married,,,,
2579,Graduation,71113,Married,,,,
175,Graduation,71952,Married,,,,
9185,PhD,69759,Single,,,,
11056,Graduation,72099,Married,,,,
9365,PhD,60000,Single,,,,
6201,Graduation,38643,Single,,,,
2061,Graduation,50737,Married,,,,
6184,PhD,68462,Married,,,,
6142,Master,65073,Married,,,,
4107,PhD,46681,Together,,,,
7274,Graduation,78618,Married,,,,
9336,PhD,62187,Widow,,,,
2958,Graduation,28442,Married,,,,
933,PhD,37717,Married,,,,
5837,Graduation,51479,Married,,,,
10704,Graduation,54803,Single,,,,
5125,Graduation,79530,Married,,,,
4432,Graduation,31615,Divorced,,,,
5955,Graduation,72025,Together,,,,
2928,PhD,52614,Single,,,,
5680,2n Cycle,35684,Married,,,,
10313,Graduation,48178,Married,,,,
2557,Master,29548,Single,,,,
1245,Graduation,63810,Single,,,,
1519,PhD,38578,Single,,,,
10703,Master,46098,Single,,,,
1726,Graduation,22585,Single,,,,
4459,Graduation,30279,Single,,,,
1729,PhD,66426,Together,,,,
1517,Graduation,30822,Single,,,,
2098,PhD,33581,Married,,,,
9543,Graduation,19986,Married,,,,
6878,Graduation,27421,Widow,,,,
3310,2n Cycle,35688,Married,,,,
2724,Master,36143,Single,,,,
948,Graduation,10245,Single,,,,
6720,Master,43795,Together,,,,
6202,Graduation,63381,Together,,,,
2066,Graduation,38823,Together,,,,
9799,PhD,83664,Divorced,,,,
8318,Graduation,90300,Together,,,,
5642,Master,62499,Together,,,,
2669,Graduation,74293,Single,,,,
455,PhD,51012,Married,,,,
7683,Master,70777,Married,,,,
3428,PhD,68682,Together,,,,
7414,Graduation,43824,Married,,,,
6354,Graduation,15345,Together,,,,
798,Graduation,23442,Single,,,,
8213,2n Cycle,14515,Together,,,,
2488,2n Cycle,31395,Divorced,,,,
9999,Graduation,75276,Together,,,,
7617,Graduation,42373,Single,,,,
615,Graduation,30507,Together,,,,
2552,PhD,55521,Single,,,,
194,Graduation,48006,Married,,,,
3645,PhD,27213,Single,,,,
8890,PhD,65808,Divorced,,,,
5049,PhD,30351,Together,,,,
9973,Graduation,50437,Married,,,,
7301,2n Cycle,23616,Single,,,,
10882,Graduation,53858,Married,,,,
7030,PhD,66465,Married,,,,
7422,Graduation,46923,Single,,,,
3523,Graduation,75072,Together,,,,
7106,PhD,75865,Married,,,,
6504,2n Cycle,19789,Together,,,,
5067,Graduation,80134,Together,,,,
4216,Graduation,91065,Single,,,,
8581,Master,49505,Married,,,,
5929,PhD,37401,Married,,,,
3129,Graduation,30096,Married,,,,
6528,Master,18492,Together,,,,
1361,Master,82584,Married,,,,
6932,PhD,93027,Married,,,,
7284,Graduation,48686,Married,,,,
1340,Graduation,92910,Married,,,,
8746,Graduation,75433,Married,,,,
5987,2n Cycle,10404,Together,,,,
3767,Graduation,61314,Married,,,,
3725,PhD,84865,Single,,,,
4324,Graduation,42387,Married,,,,
238,2n Cycle,67309,Together,,,,
6694,Graduation,75236,Married,,,,
498,Graduation,30015,Single,,,,
9347,Master,50943,Together,,,,
9699,Graduation,67272,Divorced,,,,
10664,Master,51529,Widow,,,,
5455,PhD,32011,Married,,,,
456,2n Cycle,7500,Married,,,,
5012,Graduation,28691,Married,,,,
7495,PhD,56223,Married,,,,
5029,Graduation,18100,Married,,,,
10642,Graduation,30279,Single,,,,
2106,2n Cycle,20130,Married,,,,
10364,Graduation,23295,Divorced,,,,
5954,Master,42618,Divorced,,,,
1137,Graduation,81246,Single,,,,
2541,Graduation,24027,Married,,,,
1142,PhD,55707,Married,,,,
2276,Graduation,57959,Single,,,,
2807,Graduation,56796,Married,,,,
6471,Master,36230,Single,,,,
6131,2n Cycle,70829,Married,,,,
6233,Graduation,65991,Married,,,,
4148,Graduation,38988,Married,,,,
4947,2n Cycle,89572,Single,,,,
3225,Master,42207,Married,,,,
7540,Graduation,50300,Married,,,,
10648,2n Cycle,66664,Together,,,,
1992,Graduation,60597,Married,,,,
7851,Graduation,70165,Widow,,,,
8594,PhD,50520,Widow,,,,
7059,Graduation,80124,Married,,,,
2815,Graduation,33183,Married,,,,
2416,PhD,66582,Single,,,,
7999,PhD,75261,Together,,,,
9213,Graduation,31880,Widow,,,,
9697,Graduation,53790,Married,,,,
3916,PhD,49269,Together,,,,
2021,Graduation,61456,Married,,,,
1581,Graduation,37406,Married,,,,
564,PhD,56937,Together,,,,
6619,Graduation,38415,Married,,,,
9081,Graduation,20518,Single,,,,
178,Graduation,62503,Married,,,,
916,PhD,41644,Single,,,,
5512,Master,55842,Married,,,,
8970,PhD,62010,Married,,,,
10581,Graduation,41124,Married,,,,
5300,Master,38961,Married,,,,
5154,Master,37760,Divorced,,,,
8346,Graduation,32233,Single,,,,
1676,Graduation,43057,Married,,,,
9286,Master,83151,Together,,,,
2426,PhD,78825,Divorced,,,,
5172,Master,65104,Together,,,,
5562,Graduation,60093,Married,,,,
3436,Graduation,14045,Married,,,,
3921,2n Cycle,28457,Widow,,,,
3403,PhD,78952,Together,,,,
22,Graduation,46310,Divorced,,,,
10965,Graduation,76005,Together,,,,
9426,Master,58308,Single,,,,
6605,PhD,55614,Divorced,,,,
3136,Master,59432,Divorced,,,,
8737,Graduation,55563,Divorced,,,,
11088,PhD,78642,Together,,,,
716,PhD,67911,Together,,,,
466,Graduation,65275,Married,,,,
9135,Graduation,27203,Together,,,,
10623,Master,48330,Together,,,,
8151,Basic,24279,Married,,,,
5140,PhD,64355,Married,,,,
10160,Master,50943,Together,,,,
4945,Graduation,53653,Widow,,,,
10584,Graduation,65665,Married,,,,
6071,Graduation,81217,Single,,,,
3386,Graduation,34935,Married,,,,
8939,Graduation,61250,Divorced,,,,
9925,PhD,39665,Together,,,,
4320,Graduation,60152,Single,,,,
5389,Graduation,48920,Married,,,,
6036,Master,89120,Together,,,,
182,PhD,44124,Together,,,,
203,Master,81169,Single,,,,
11025,Graduation,36443,Married,,,,
10203,Graduation,26095,Single,,,,
4607,Graduation,71367,Together,,,,
3711,Master,80184,Married,,,,
3696,Graduation,30630,Divorced,,,,
2532,Master,73454,Single,,,,
9214,Graduation,42691,Married,,,,
4943,Graduation,70503,Married,,,,
35,Graduation,25545,Married,,,,
2258,Graduation,32880,Married,,,,
4322,PhD,77863,Together,,,,
713,Master,50353,Married,,,,
4702,Graduation,61839,Single,,,,
3281,PhD,49154,Married,,,,
702,2n Cycle,47682,Widow,,,,
2004,Graduation,72679,Single,,,,
4769,Master,57954,Together,,,,
4437,Graduation,65316,Married,,,,
8724,Graduation,28567,Single,,,,
10741,Master,47352,Together,,,,
1991,Graduation,44931,Together,,,,
6931,Graduation,76982,Divorced,,,,
11096,2n Cycle,57247,Together,,,,
304,Master,22944,Single,,,,
3665,2n Cycle,25315,Together,,,,
10591,Graduation,43638,Widow,,,,
5036,PhD,42710,Single,,,,
5547,PhD,84169,Married,,,,
7822,Graduation,54058,Together,,,,
8541,2n Cycle,24683,Married,,,,
10955,Graduation,85620,Widow,,,,
4368,Graduation,47850,Married,,,,
9671,Graduation,19514,Married,,,,
2256,Master,27159,Married,,,,
4279,2n Cycle,39548,Single,,,,
5371,Graduation,21474,Single,,,,
9240,PhD,60504,Single,,,,
9460,Graduation,22419,Married,,,,
9504,Master,81698,Married,,,,
8692,Graduation,43462,Together,,,,
448,PhD,54880,Single,,,,
8314,Graduation,79908,Married,,,,
8420,2n Cycle,15315,Married,,,,
3174,Graduation,87771,Together,,,,
7685,Graduation,33039,Married,,,,
3179,Graduation,81741,Single,,,,
9780,Master,71499,Together,,,,
10681,2n Cycle,62466,Married,,,,
10232,PhD,48799,Divorced,,,,
4184,PhD,52157,Together,,,,
9120,Graduation,66565,Single,,,,
891,Master,29298,Together,,,,
10381,Graduation,47691,Single,,,,
3525,Graduation,38200,Together,,,,
6818,Graduation,44989,Married,,,,
3526,PhD,38443,Married,,,,
8181,2n Cycle,38593,Single,,,,
1029,PhD,64413,Together,,,,
7369,Master,36959,Married,,,,
2574,PhD,61996,Married,,,,
8159,Graduation,51287,Married,,,,
1160,Graduation,13260,Married,,,,
10242,PhD,47472,Together,,,,
5253,Master,54603,Together,,,,
5966,PhD,45207,Married,,,,
5314,Graduation,40689,Together,,,,
5081,2n Cycle,47821,Together,,,,
5123,Master,27450,Married,,,,
5756,Graduation,39453,Together,,,,
8036,2n Cycle,26850,Together,,,,
9058,Graduation,79800,Widow,,,,
5057,Master,61794,Married,,,,
254,Graduation,53863,Together,,,,
4179,Graduation,24221,Together,,,,
3710,PhD,39684,Single,,,,
7627,Master,92163,Married,,,,
4501,Master,69882,Single,,,,
6424,Graduation,33178,Together,,,,
3075,PhD,59973,Married,,,,
4992,Master,17459,Together,,,,
5252,Graduation,23910,Divorced,,,,
7444,Master,42169,Married,,,,
6919,2n Cycle,26224,Married,,,,
3537,Graduation,31089,Together,,,,
10277,Graduation,30081,Single,,,,
2453,Graduation,62807,Together,,,,
7972,Graduation,72906,Single,,,,
895,PhD,61467,Married,,,,
1177,Master,49618,Together,,,,
7141,Master,21888,Single,,,,
7232,Graduation,42429,Widow,,,,
8477,Graduation,26150,Divorced,,,,
2457,Basic,30801,Married,,,,
988,Graduation,81168,Married,,,,
7930,Master,26877,Single,,,,
4587,Master,45006,Widow,,,,
6682,Basic,18978,Married,,,,
6222,Graduation,22574,Married,,,,
10299,PhD,48240,Single,,,,
3083,Graduation,45837,Married,,,,
8953,Master,35791,Single,,,,
1503,PhD,162397,Together,,,,
8650,Graduation,54162,Widow,,,,
10862,Master,30522,Married,,,,
2782,PhD,54456,Married,,,,
6941,Graduation,31632,Single,,,,
10972,Graduation,72298,Widow,,,,
10708,2n Cycle,36975,Single,,,,
6583,2n Cycle,72635,Married,,,,
3641,Graduation,13624,Married,,,,
10156,Graduation,84196,Single,,,,
4299,Graduation,70971,Together,,,,
3469,PhD,34487,Divorced,,,,
5063,Graduation,28769,Single,,,,
10727,PhD,69084,Married,,,,
9624,PhD,65488,Together,,,,
5156,2n Cycle,62466,Married,,,,
4376,2n Cycle,32218,Single,,,,
8923,Graduation,83917,Single,,,,
8461,Graduation,46102,Divorced,,,,
6945,Graduation,84574,Single,,,,
944,Graduation,56181,Married,,,,
1907,Master,63120,Divorced,,,,
701,Graduation,73691,Married,,,,
3856,Graduation,63381,Together,,,,
4149,PhD,76140,Together,,,,
2131,PhD,62859,Divorced,,,,
2942,Graduation,45906,Single,,,,
1173,Master,77632,Together,,,,
4381,PhD,46463,Married,,,,
4611,Graduation,105471,Together,,,,
3376,Master,55282,Divorced,,,,
4679,Master,78710,Married,,,,
10928,Graduation,66886,Together,,,,
4248,Master,98777,Single,,,,
6728,Graduation,29103,Together,,,,
6661,Graduation,67445,Married,,,,
4725,PhD,50616,Together,,,,
3277,Graduation,49431,Divorced,,,,
5555,Graduation,153924,Divorced,,,,
2564,Graduation,61278,Together,,,,
946,2n Cycle,26490,Together,,,,
3867,PhD,73059,Together,,,,
6940,PhD,46734,Single,,,,
55,Graduation,56253,Together,,,,
7093,Graduation,19986,Married,,,,
5084,Graduation,58330,Widow,,,,
1777,Basic,25965,Married,,,,
8162,Master,14661,Together,,,,
10826,Graduation,18690,Married,,,,
8754,PhD,45068,Together,,,,
1987,Basic,21063,Single,,,,
11007,PhD,29187,Married,,,,
7426,2n Cycle,54690,Married,,,,
9153,PhD,59304,Married,,,,
10379,Master,59247,Single,,,,
9204,Graduation,66731,Widow,,,,
3197,Graduation,77353,Married,,,,
2920,PhD,52614,Single,,,,
6961,Graduation,26751,Married,,,,
4673,PhD,81300,Married,,,,
9937,Graduation,70337,Single,,,,
8779,2n Cycle,36145,Married,,,,
9596,PhD,65295,Single,,,,
2891,Graduation,68118,Divorced,,,,
4910,Graduation,68743,Divorced,,,,
75,2n Cycle,41039,Together,,,,
10120,Graduation,38946,Together,,,,
6327,Graduation,65777,Together,,,,
10142,PhD,66476,Divorced,,,,
9826,PhD,86857,Single,,,,
1501,PhD,160803,Married,,,,
10767,PhD,77845,Together,,,,
7279,PhD,69476,Together,,,,
7230,PhD,50611,Divorced,,,,
143,Graduation,61209,Single,,,,
450,Master,42315,Together,,,,
9316,Basic,13084,Together,,,,
6379,Master,47570,Widow,,,,
9239,Master,61923,Married,,,,
8315,Graduation,34824,Single,,,,
2868,PhD,26518,Single,,,,
10888,Graduation,45938,Single,,,,
1277,Graduation,78468,Together,,,,
9977,Graduation,78901,Divorced,,,,
10196,Graduation,71427,Married,,,,
6384,Graduation,71022,Divorced,,,,
8029,Master,90247,Single,,,,
968,Master,41335,Divorced,,,,
6988,Graduation,71952,Married,,,,
4472,PhD,35682,Divorced,,,,
6991,Graduation,43185,Divorced,,,,
3336,PhD,66375,Together,,,,
4301,Master,35178,Married,,,,
1940,Graduation,25252,Married,,,,
1272,Master,55250,Single,,,,
1388,Graduation,33249,Single,,,,
1044,Graduation,58398,Together,,,,
6969,Graduation,50272,Together,,,,
10479,PhD,76618,Married,,,,
3619,2n Cycle,87305,Divorced,,,,
1715,Graduation,25851,Together,,,,
10159,Graduation,58710,Divorced,,,,
1463,Graduation,45160,Single,,,,
5114,Master,74806,Married,,,,
4990,Graduation,59111,Married,,,,
4329,PhD,18988,Married,,,,
10936,Graduation,72190,Married,,,,
4692,Graduation,7500,Married,,,,
7212,Graduation,44794,Married,,,,
6086,Graduation,80395,Married,,,,
437,Master,75012,Divorced,,,,
11171,Master,56962,Married,,,,
11101,Graduation,89891,Together,,,,
5329,PhD,35946,Divorced,,,,
610,PhD,53593,Together,,,,
9384,Graduation,66373,Married,,,,
5956,PhD,45072,Divorced,,,,
10430,Graduation,89694,Divorced,,,,
7875,Graduation,72025,Married,,,,
7072,Graduation,67432,Married,,,,
6255,Master,70545,Together,,,,
6516,Basic,17487,Married,,,,
5564,Graduation,62882,Together,,,,
5682,PhD,64108,Single,,,,
7458,Master,34941,Together,,,,
5237,PhD,48767,Single,,,,
7761,2n Cycle,38702,Together,,,,
5278,Graduation,82224,Married,,,,
3560,Graduation,83844,Together,,,,
